articolo;localizzazione;tempo;grave;moto;utenti_deboli
Pedone travolto da un'auto a Traversetolo: è in gravi condizioni al Maggiore. Pedone investito da un'auto mentre attraversava la strada stamattina intorno alle 8,30 a Traversetolo. L'incidente si è verificato in viale Toscanini, sul posto è intervenuto il 118. I militi della Croce Azzurra hanno soccorso il ferito trasportandolo all'ospedale Maggiore, nell'area codici rossi del Pronto soccorso. Il pedone versa in gravi condizioni. Indagini in corso per stabilire la dinamica dei fatti.;0;0;0;0;0
Scontro tra due tir in A1, uno si ribalta e fa un salto di corsia: 4 chilometri di coda, autostrada chiusa e riaperta. Grave incidente stradale nella mattinata del 28 settembre lungo l'autostrada A1, tra Parma e Reggio Emilia in direzione Milano. Per cause in corso di accertamento poco dopo le ore 7 due mezzi pesanti si sono scontrati. Uno dei due si è ribaltato ed ha fatto un salto di corsia, occupando la carreggiata in direzione Bologna. Sul posto, oltre alle ambulanze del 118, anche gli operatori dei vigili del fuoco, che stanno lavorando per mettere in sicurezza l'area. Ci sarebbero alcuni feriti ma secondo le prime informazioni non sarebbero gravi. Aggiornamento alle ore 10 - Alle ore 10:00 circa, sulla A1 Milano-Napoli è stato riaperto il tratto tra Reggio Emilia e Terre di Canossa-Campegine verso Milano, chiuso per l'incidente avvenuto allaltezza km 126,8. Attualmente, in direzione di Milano il traffico transita su due corsie e si segnalano 9 km di coda, mentre in direzione di Bologna il traffico transita su tutte le corsie disponibili e si registrano 10 km di coda in diminuzione. Agli utenti diretti verso Milano si consiglia di anticipare luscita alla stazione di Modena nord, percorrere la SS9 Via Emilia e rientrare in autostrada alla stazione di Terre di Canossa-Campegine. Per le lunghe percorrenze in direzione nord si consiglia di immettersi sulla A22 Brennero-Modena e proseguire sulla A4 Torino-Trieste. Agli utenti diretti verso Bologna si consiglia di immettersi sulla A15 Parma-La Spezia, uscire alla stazione di Parma ovest, proseguire sulla SS9 Via Emilia e rientrare in A1 alla stazione di Reggio Emilia. Aggiornamento alle 9.45 - Alle ore 9:45 circa sulla A1 Milano-Napoli, nel tratto tra Reggio Emilia e Terre di Canossa-Campegine verso Milano, proseguono le operazioni di soccorso attivate a seguito dell'incidente avvenuto allaltezza km 126,8 che ha reso necessaria la temporanea chiusura del tratto. Lincidente ha visto coinvolti due mezzi pesanti di cui uno  ribaltandosi  si è intraversato occupando interamente la carreggiata nord e parzialmente la sud, disperdendo gasolio sul piano stradale. Permane la chiusura del tratto per consentire le necessarie operazioni di ripristino, mentre il traffico in direzione di Milano transita su due corsie e si registrano 3 km di coda allinterno del tratto chiuso e 8 km di coda in corrispondenza delluscita obbligatoria. In carreggiata opposta il traffico transita su tutte le corsie disponibili e si registrano 11 km di coda in direzione di Bologna. Agli utenti diretti verso Milano si consiglia di anticipare luscita alla stazione di Modena nord, percorrere la SS9 Via Emilia e rientrare in autostrada alla stazione di Terre di Canossa-Campegine. Per le lunghe percorrenze in direzione nord si consiglia di immettersi sulla A22 Brennero-Modena e proseguire sulla A4 Torino-Trieste. Agli utenti diretti verso Bologna si consiglia di immettersi sulla A15 Parma-La Spezia, uscire alla stazione di Parma ovest, proseguire sulla SS9 Via Emilia e rientrare in A1 alla stazione di Reggio Emilia. Sulla A1 Milano-Napoli si è resa necessaria la chiusura del tratto compreso tra Reggio Emilia e Terre di Canossa-Campegine verso Milano per un incidente avvenuto al km 126,8. Sono coinvolti due mezzi pesanti, uno dei quali si è ribaltato occupando tutta la carreggiata verso Milano e la corsia di sorpasso della carreggiata in direzione di Bologna. All'interno del tratto chiuso il traffico è bloccato con 3 chilometri di coda. In direzione di Bologna segnaliamo 4 chilometri di coda, in aumento, tra Parma e Reggio Emilia. Chi viaggia verso Milano deve uscire a Reggio Emilia, dove segnaliamo 3 chilometri di coda, di conseguenza consigliamo di uscire a Modena nord e rientrare in autostrada a Terre di Canossa-Campegine dopo aver percorso la Strada Statale 9 Via Emilia. Sul posto sono presenti il personale di Autostrade per l'Italia e tutti i mezzi di soccorso.;0;0;0;0;0
Scontro in strada Marconi, auto si ribalta in viale Vittoria, schianto a San Prospero: cinque feriti nella notte. Incidente ieri sera intorno alle 22 in strada Marconi: due auto si sono scontrate, il bilancio è stato di due feriti. In nottata, invece, un'altra auto (forse per l'eccessiva velocità) si è ribaltata in viale Vittoria: un uomo è finito al Maggiore in condizioni giudicate gravi. Sempre in nottata, a San Prospero, in via Emilio Lepido, altre due auto si sono scontrate causando due feriti.;0;0;0;0;0
Tir in fiamme in A1 vicino al bivio per l'A15, il conducente scende appena in tempo: 4 chilometri di coda. Poco prima delle ore 9.30 di mercoledì 21 settembre un autocarro ha preso fuoco mentre stava percorrendo l'autostrada A1, vicino al bivio per l'A15 Parma- La Spezia in direzione Milano. Secondo le prime informazioni il conducente sarebbe sceso appena prima che le fiamme avvolgessero il mezzo pesante. Sul posto sono arrivati i soccorritori del 118 e alcune squadre dei vigili del fuoco, che hanno lavorato per spegnere l'incendio. In seguito all'incidente si sono formati quattro chilometri di coda tra il casello di Parma e il bivio per l'A1 Parma- La Spezia in direzione Milano. Si sono formati alcuni chilometri di coda anche in direzione Bologna per la presenza di alcuni curiosi. L'entrata consigliata verso Milano è Parma Ovest su A15 Parma-La Spezia. L'uscita consigliata provenendo da Bologna è Parma. Il conducente del tir sarebbe fortunatamente rimasto illeso.;0;0;0;0;0
Pauroso frontale tra due auto nella notte a Langhirano: quattro feriti, due gravi. Pauroso schianto frontale tra due auto nella notte tra martedì 20 e mercoledì 21 settembre in località Cattabiano Chiastrone, frazione del comune di Langhirano. Lo scontro, che è avvenuto lungo la strada che porta a Tizzano Va Parma avrebbe coinvolto due veicoli, che si sono scontrati per cause in corso di accertamento. Erano da poco passate le 4.30 quando i due mezzi, che stavano transitando in due sensi di marcia opposti, sono venuti a contatto. L'impatto è stato molto violento e quattro persone sono rimaste ferite. Sul posto sono arrivati i soccorritori del 118 che, dopo aver prestato le prime cure ai feriti, li hanno trasportati al pronto soccorso dell'Ospedale Maggiore. Due di loro sono ricoverati in gravi condizioni di salute ma fortunatamente non sono in pericolo di vita mentre gli altri due hanno riportato solo lievi traumi. Sul posto anche i vigili del fuoco che hanno messo in sicurezza l'area dell'incidente.;0;0;0;0;0
Travolge uno scooter in via Traversetolo e scappa: è caccia all'auto pirata. Ha travolto uno scooter in via Traversetolo a Parma e non si è fermato a soccorrere il motociclista ferito. L'auto pirata avrebbe provocato l'incidente dopo le ore 18 di domenica 17 settembre. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 con l'ambulanza e l'automedica che hanno medicato sul posto e poi trasportato al pronto soccorso il conducente della moto, che ha riportato ferite serie. Ora è caccia al pirata della strada. La polizia locale ha effettuato i rilievi previsti per legge e sta cercando di risalire alla sua identità.;0;0;0;0;0
Cade sull'asfalto a Poggio di Berceto: motociclista 48enne grave. Grave incidente stradale nel pomeriggio di domenica 18 settembre in località Poggio di Berceto. Per cause in corso di accertamento un motociclista di 48 anni è infatti caduto mentre stava percorrendo la strada provinciale, provocandosi ferite serie. Sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure all'uomo. L'elisoccorso, partito in volo da Parma, lo ha poi trasportato al pronto soccorso dell'Ospedale Maggiore. Il motociclista avrebbe riportato traumi in varie parti del corpo: sono in corso accertamenti sulle sue condizioni di salute.;0;0;0;0;0
Auto si ribalta in A1 tra Fidenza e Fiorenzuola: tre feriti. Due auto ribaltate in due diversi incidenti. Poco prima delle 7, scontro tra due auto in A1 tra Fidenza e Fiorenzuola, al chilometro 83 in direzione nord. Nell'impatto una delle macchine si è ribaltata terminando la corsa in mezzo alla carreggiata. Tre feriti, uno dei quali trasportato all'ospedale di Vaio con traumi al torace di media gravità. Sul posto, oltre al 118, anche i vigili del fuoco per la messa in sicurezza dei mezzi coinvolti. Dinamica al vaglio. In zona Parma Retail, invece, un'auto è finita in un fosso in strada di Gainago. Al volante una donna, che avrebbe perso il controllo del mezzo, finendo fuori strada per poi ribaltarsi. La conducente è rimasta illesa.;0;0;0;0;0
Ciclista trovato a terra in viale Manara e portato in ospedale: è in gravi condizioni. Un ciclista è stato ritrovato a terra, nella mattinata di oggi giovedì 15 settembre, in viale Manara a Parma poco dopo le ore 10. Sul posto sono arrivati i soccorritori della Pubblica Assistenza di Parma che lo hanno soccorso e poi trasportato al pronto soccorso dell'Ospedale Maggiore. Non è chiaro se l'uomo sia caduto dal mezzo a due ruote mentre percorreva i viali o se sia stato investito da un'auto o da un altro mezzo. Sul posto anche la polizia locale che ha effettuato i primi accertamenti per cercare di ricostruire l'episodio e per capire l'esatta dinamica dell'incidente. Il ciclista ha riportato traumi in varie parti del corpo ed è stato portato in ospedale in condizioni di media gravità. Fortunatamente non è in pericolo di vita.;0;0;0;0;0
Sissa Trecasali, furgone si ribalta e finisce nel canale: conducente incastrato, grave al Maggiore. Grave incidente stradale nella mattinata di oggi, giovedì 15 settembre, in via Mingardi a Sissa Trecasali. Per cause in corso di accertamento un furgone si è ribaltato ed è finito nel canale. In conseguenza dello schianto il conducente del mezzo è rimasto incastrato all'interno dell'abitacolo. Sul posto sono arrivati, dopo pochi minuti, i soccorritori del 118 e i vigili del fuoco. Gli operatori del 115 sono riusciti a far uscire l'uomo dal furgone mentre i sanitari, dopo le prime cure sul posto, lo hanno trasportato d'urgenza al pronto soccorso dell'Ospedale Maggiore. Secondo le prime informazioni il ferito avrebbe riportato ferite di media gravità ma non sarebbe in pericolo di vita.;0;0;0;0;0
Scontro auto-bici in via Volturno: ciclista grave in ospedale. Grave incidente stradale alle 6 della mattinata di oggi, giovedì 15 settembre. Erano da poco passate le ore 6 quando un'auto e una bicicletta si sono scontrate, all'altezza del civico 14 di via Volturno a Parma. Le cause dell'incidente sono in corso di accertamento. In conseguenza dello schianto il ciclista, che è stato sbalzato sull'asfalto con violenza, ha riportato ferite gravi e traumi in varie parti del corpo. In pochi istanti sul posto sono arrivati i soccorritori della Pubblica Assistenza di Parma che hanno prestato le prime cure al ciclista, per poi trasportarlo d'urgenza al pronto soccorso dell'Ospedale Maggiore. Secondo le prime informazioni avrebbe riportato ferite gravi ma non sarebbe in pericolo di vita.;0;0;0;0;0
Paura a Citerna di Taro, auto ribaltata: conducente grave al Maggiore. Paura nelle prime ore della mattinata di oggi, giovedì 15 settembre, a Citerna di Taro, frazione del comune di Fornovo Taro. Poco prima delle ore 7 il conducente di un'auto ha perso il controllo del veicolo, per cause in corso di accertamento, e si è ribaltato. Dalle prime informazioni sembra che l'incidente non abbia coinvolto altri mezzi. Sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure al conducente, per poi trasportarlo d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma. Il conducente, che avrebbe riportato traumi in varie parti del corpo, si trova ricoverato nell'area rossi dell'Ospedale, in attesa di accertamenti medici.;0;0;0;0;0
Paura in via Spezia, scooter in fiamme nella notte: intervento dei vigili del fuoco. L'allarme è scattato dopo l'una e mezza della notte tra martedì 13 e mercoledì 14 settembre. A Parma, in via Spezia, uno scooter ha preso fuoco, per cause in corso di accertamento. Il conducente del veicolo è riuscito a scendere appena in tempo e fortunatamente non è rimasto ferito. Sul posto sono arrivati i vigili del fuoco, partiti dalla caserma di via Chiavari. L'intervento, che ha visto impegnata una squadra per poco più di un'ora, si è risolto con la messa in sicurezza del mezzo a due ruote e dell'area in cui è avvenuto l'incidente.;0;0;0;0;0
Cade con lo scooter a Tabiano Bagni: 37enne gravissimo al Maggiore. È stato trasportato in gravissime condizioni all'ospedale Maggiore di Parma un 37enne che, intorno alle 19.30 di martedì 13 settembre, è caduto con il suo scooter in viale Fidenza a Tabiano di Salsomaggiore. L'incidente è avvenuto nei pressi dell'albergo Sporting e qua sono intervenuti i volontari della Pubblica Assistenza di Salsomaggiore, con l'ambulanza infermieristica. Una volta giunti sul posto hanno prestato le prime cure all'uomo: pare che scivolando dal mezzo a due ruote abbia battuto il torace sul manubrio e la testa sull'asfalto, riportando gravi ferite anche al capo. Infermiere e soccorritori hanno immobilizzato e spinalizzato il 37enne, nell'attesa dell'elisoccorso giunto da Parma. Il medico ha predisposto per lui il trasporto d'urgenza al Maggiore.;0;0;0;0;0
Schianto tra due auto a Collecchio, una si ribalta: ferito grave al Maggiore. Un grave incidente stradale si è verificato nelle prime ore della mattinata di oggi, martedì 13 settembre, a Collecchio in strada Nazionale Est, in corrispodenza della rotatoria della tangenziale. Prima delle ore 8, per cause in corso di accertamento, due auto si sono scontrate. Uno dei due mezzi, in conseguenza dell'impatto, si è ribaltato a lato della strada. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 - l'Assistenza Volontaria di Collecchio, Felino e Sala Baganza e l'automedica della Croce Rossa di Parma - che hanno prestato le prime cure al conducente dell'auto ribaltata, che è rimasto ferito gravemente. Il ferito, un 48enne, è stato trasportato al pronto soccorso dell'Ospedale Maggiore: avrebbe riportato traumi in varie parti del corpo ma non si troverebbe in pericolo di vita. Sul posto anche i carabinieri che si sono occupati di effettuare i rilievi previsti per legge e di gestire il traffico veicolare. Sul posto anche l'ambulanza infermieristica di Collecchio e i vigili del fuoco.;0;0;0;0;0
Tragedia in via Traversetolo: ciclista 75enne investito e ucciso da un'auto. Nella mattinata di oggi si è verificato un sinistro in cui ha perso la vita il 75enne Giovanni Mainardi. Sul posto è intervenuta prontamente una pattuglia del comando di Polizia Locale di Parma per eseguire i rilievi. Il sinistro ha visto coinvolti un veicolo è un uomo con la sua bicicletta. È ancora in corso la ricostruzione del sinistro da parte del nucleo di Infortunistica stradale del Comando di strada del Taglio. Il veicolo era condotto da un cittadino giapponese residente da molto tempo in Italia, in auto con lui anche la figlia. L'auto, mentre percorreva via Traversetolo con direzione centro città, poco dopo lIntersezione con via Budellungo, ha urtato con la parte anteriore destra l'aziano, in prossimità delle strisce pedonali. L'uomo stava attraversando in via Traversetolo con la bici dal lato dì via Budellungo verso piazzale Maestri. Lurto ha fatto sbalzare lanziano sul parabrezza. Subito sono stati allertati gli operatori del 118, che sono intervenuti prontamente ed hanno caricato luomo sullambulanza. L'uomo purtroppo è deceduto durante il trasporto all'ospedale. Il conducente è stato scortato in Comando di via del Taglio. Lipotesi di reato è quella di omicidio stradale. I messi sono stati sequestrati ed è stato immediatamente informato il pubblico ministero. La salma rimarrà a disposizione della Procura della Repubblica. Il conducente del mezzo è stato sottoposto a primi accertamenti per verificare se fosse alla guida sotto l'effetto di alcol, con risultati negativi. Gli è stato controllato anche lo smartphone senza trovare alcun indizio che lo stesse utilizzando.;0;0;0;0;0
Anziano investito da un'auto sulle strisce in via Traversetolo: gravissimo al Maggiore. Gravissimo ncidente stradale nella tarda mattinata di oggi, lunedì 12 settembre, in via Traversetolo a Parma. Un anziano, che stava attraversando sulle strisce pedonali, in corrispondenza dell'incrocio con via Zarotto, è stato investito da un'auto, che è sopraggiunta all'improvviso lungo la strada. L'incidente si è verificato poco prima di mezzogiorno. Secondo le prime informazioni l'impatto sarebbe stato molto violento. Sul posto sono arrivati, in pochi minuti i soccorritori del 118 con l'ambulanza e l'automedica che hanno trasportato il ferito al pronto soccorso dell'Ospedale Maggiore di Parma. L'anziano avrebbe riportato ferite gravissime: subito dopo l'arrivo in ospedale sarebbe stato infatti trasferito nel reparto di Rianimazione ed ora si troverebbe sotto stretta osservazione medica. Sul posto anche la polizia locale che ha effettuato i rilievi previsti per legge ed ha gestito il traffico in zona.;0;0;0;0;0
Choc a Parola, esce di strada e resta incosciente per due ore, poi si sveglia e cammina per i campi: 30enne grave. Non è ancora chiara la dinamica del grave incidente stradale avvenuto verso le ore 8.30 di oggi, venerdì 9 settembre, nei pressi dell'abitato di Parola, lungo la via Emilia tra Fidenza e Parma. Per cause in corso di accertamento, probabilmente per lo scoppio di uno pneumatico, il conducente di un'auto ha perso il controllo del veicolo che è finito nel canale, lungo la via Emilia. Secondo le prime informazioni il conducente, un 30enne di origine straniera, dopo lo schianto, avrebbe perso coscienza, mentre si trovava incastrato all'interno del veicolo. Dopo circa due ore si sarebbe svegliato, avrebbe spaccato il finestrino della sua auto per poter uscire, poi avrebbe camminato per i campi alla ricerca di aiuto. L'auto si trovava all'interno del canale, non visibile dalla strada. Il 30enne, che ha riportato traumi in varie parti del corpo e che potrebbe avere fratture vertebrali, ha proseguito fino alla prima azienda. Li ha chiesto aiuto. I soccorritori dell'ambulanza infermieristica di Pontetaro lo hanno soccorso e, dopo avergli prestato le prime cure, lo hanno trasportato d'urgenza al pronto soccorso dell'Ospedale di Vaio di Fidenza L'uomo ha traumi in varie parti del corpo e si sospetta possa avere fratture vertebrali. E' sotto stretta osservazione medica. Sul posto, oltre ai soccorritori, anche la polizia stradale che ha effettuato i rilievi previsti per legge e gestito il traffico in zona. Lungo la via Emilia si sono infatti formate code nei due sensi di marcia.;0;0;0;0;0
Paura a Pizzolese, schianto tra furgone e scooter: ferito grave al Maggiore. Grave incidente stradale nel primo pomeriggio di oggi, mercoledì 7 settembre, a Pizzolese. Per cause in corso di accertamento un furgone ed uno scooter si sono scontrati. Ad avere la peggio il conducente dello scooter, che è stato sbalzato sull'asfalto in conseguenza dell'impatto con il secondo mezzo. Sul posto gli operatori del 118 e la polizia locale, che ha effettuato i rilievi previsti per legge. Secondo le prime informazioni il conducente dello scooter avrebbe riportato ferite particolarmente gravi. Dopo le prime cure sul posto è stato trasportato al pronto soccorso dell'Ospedale Maggiore di Parma, dove si trova attualmente ricoverato nell'area rossi.;0;0;0;0;0
Due incidenti in A1, traffico nel caos: 5 chilometri di coda tra Parma e Reggio Emilia. Nella mattinata di oggi, martedì 6 settembre, si sono verificati due incidenti lungo l'autostrada A1 tra le uscite di Parma e di Terre di Canossa/Campegine in direzione Bologna. In conseguenza degli scontri, che hanno provocato fortunatamente solo feriti lievi, si sono verificati diversi chilometri di coda nel tratto compreso tra Parma e Reggio Emilia. In particolare alle ore 11 erano ancora cinque i chilometri di coda nel tratto interessato all'incidente, in direzione Bolgona. L'entrata consigliata da Autostrade verso Bologna è Reggio Emilia mentre l'uscita consigliata provenendo da Milano è Parma. Gli incidenti si sono verificati dopo le ore 10 all'altezza del chilometro 122 e del chilometro 127 in direzione Sud.;0;0;0;0;0
Scoppia una gomma, perde il controllo del tir che finisce contro il guardrail in A1: 30enne grave al Maggiore. Grave incidente poco dopo le ore 13 di oggi, lunedì 5 settembre, lungo l'autostrada A1 in direzione Sud. Il conducente di un tir ha perso il controllo del mezzo mentre stava percorrendo la corsia in direzione Bologna, all'altezza del chilometro 109 Sud. Secondo le prime informazioni la causa sarebbe lo scoppio di uno pneumatico. In conseguenza dello schianto contro il guardrail il conducente, un 30enne di origine belga, sarebbe rimasto ferito gravemente e trasportato d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma. Sul posto l'ambulanza infermieristica di Pontetaro, la polizia stradale e i vigili del fuoco, che hanno lavorato per mettere in sicurezza l'area dell'incidente. Il camionista 30enne avrebbe riportato un forte trauma toracico.;0;0;0;0;0
